symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
MUBUSDT,2026-06-18T04:59:59Z,LONG,BOS,1.584348875942992,0.3754912867380212,0.8678571428571562,4,0.5301053459830927,0.22436476266388794,3,0,0.4882549239317948,0,1,1.1136862312539437,1.779412311007103,101,-0.4599216792572719,3,2.947321503131524,1
ZECUSDT,2026-06-18T21:59:59Z,LONG,BOS,2.0925930368209,0.5429099034095821,0.7404795486600813,4,0.5502465237259271,0.3626386613507993,20,0,0.74309482918416,0,1,1.1130701108512984,2.356334590636776,119,0.05966148070241343,-1,-1.0374949152542374,0
BNBUSDT,2026-06-18T21:59:59Z,LONG,BOS,0.7750885653546715,0.22249002244756877,0.4464285714285696,4,0.22249002244756877,0.22471492267204243,20,0,0.4983776502825561,0,1,0.9789560987692976,0.7600884466556069,81,-0.6519246236421283,0,-0.11840727272727335,0
SNDKBUSDT,2026-06-19T03:59:59Z,LONG,BOS,1.2660149358750294,0.4683423238947824,0.6990913949759434,4,0.4683423238947824,0.07161197613070107,20,0,0.6699300367027098,0,1,1.2664577978714446,1.6129179359028096,27,-0.849926313099006,-1,-1.0550994910941478,0
SOLUSDT,2026-06-20T14:59:59Z,LONG,BOS,0.9997336145355263,1.2956097555619335,0.6206896551724146,6,1.504579070975158,0.8498085493470806,5,0,2.424044058793307,0,1,1.1841594540082203,1.2019230769230689,62,2.6837500636307063,1,0.9244199999999995,1
BTCUSDT,2026-06-21T05:59:59Z,LONG,BOS,0.3809353261220055,0.7527461138805698,0.8033808945981072,0,0.7170524040311061,0.6401642413758395,3,0,0.9737944882338304,0,1,1.1079718701223342,0.423221658141104,38,0.01611925341250865,-1,-1.2119545233892393,0
SNDKBUSDT,2026-06-21T01:59:59Z,LONG,BOS,0.3755593110749103,0.5638091401221244,1,6,0.5756538699566115,0.3138853406142043,22,0,0.5649936131055462,0,1,2.468441697509319,0.9290548071007468,77,-0.6846780906583303,-1,-1.0961726487524006,0
MUBUSDT,2026-06-20T09:59:59Z,LONG,BOS,0.8254624776610148,0.48712057418806365,0.6337047353760327,5,0.7408515106332656,0.3243901845692187,23,0,0.7686869720154643,0,1,0.9335585509714222,0.7753592260634538,145,-0.7900624931631691,1,0.8832247706422022,1
VANRYUSDT,2026-06-22T03:59:59Z,LONG,BOS,1.3628234545633955,0.5529866586037243,0.7843137254901941,1,0.8507487055441941,0.40410563513348946,1,0,1.0847045995688502,0,1,1.2548543406776744,1.7302052785923634,302,-0.49945887430474717,0,-0.05201694915254273,0
XLMUSDT,2026-06-22T03:59:59Z,LONG,BOS,1.3672799983785127,0.7798664373369781,0.6874999999999997,1,1.1189388013965347,0.30516512765360465,1,0,1.6275473474858695,0,1,0.9833098557727177,1.3653483992467108,99,1.3206078229379654,-1,-1.06521724137931,0
WLDUSDT,2026-06-22T12:59:59Z,SHORT,BOS,2.3319317076974317,1.0085218687787054,0.27751196172248893,1,1.0430602889423637,0.2003228369491966,9,-0,1.4437059628407567,0,0,0.7114914553712793,1.6197515332599426,56,0.39535321925301387,-1,-1.056264077669903,0
DOGEUSDT,2026-06-22T03:59:59Z,LONG,BOS,0.6774481559147122,0.9523404627937349,0.5483870967741914,1,1.1992435457402615,0.19399527945798167,1,0,2.186855877526368,0,1,1.4285106941906145,0.9756685136111843,12,2.1110797746770276,1,0.9070555555555562,1
ZECUSDT,2026-06-22T14:59:59Z,LONG,BOS,1.3154351319281343,0.6689616564981481,0.6572528883183557,1,0.8456996743877807,0.019821086118464344,12,0,1.2867188405235983,0,1,0.5302140536688977,0.7053084900685488,207,0.98900106183137,-1,-1.1269037383177578,0
SNDKBUSDT,2026-06-24T00:59:59Z,SHORT,BOS,2.228855436975117,0.8206649654275759,0.008584807492193725,2,2.2119180686852813,0.3324415809070667,17,-0,0.8819223167748415,0,0,0.23264027815029056,0.4941592713343922,47,0.39147094896079876,3,2.8199724852071064,1
XRPUSDT,2026-06-24T03:59:59Z,LONG,CHoCH,0.696145819377699,0.06500500729803164,0.45714285714286257,2,0.3900300437882187,0.013001001459635196,21,0,0.45503505108627923,1,1,0.806062090495679,0.5626644886105802,0,-1.1220886752439068,-1,-1.159253225806452,0
SOLUSDT,2026-06-24T03:59:59Z,LONG,CHoCH,0.8780262693635074,0.474822089631017,0.5172413793103414,2,0.4911952651355196,0.3274635100903541,22,0,0.9496441792620107,1,1,1.0478832322891194,0.9240542881894319,0,-0.5317844789781446,0,-0.09739687499999992,0
ADAUSDT,2026-06-16T08:59:59Z,SHORT,BOS,1.6833774946213464,0.3973537267828909,0.04761904761905517,1,0.662256211304815,1.1920611803486634,21,-0,0.6953690218700613,0,0,1.788091770522995,2.976846747519288,165,0.008615753349579409,6,5.973966666666667,1
