symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
XLMUSDT,2025-07-25T10:59:59Z,SHORT,BOS,2.1463979604514445,0.8375422351649319,0.10576923076923016,5,0.9045456139781252,0.26801351525277944,2,-0,1.1613918994287005,0,0,0.2010101364395799,0.4232306607100795,47,-0.38416056380223185,-1,-1.2133500000000037,0
ADAUSDT,2025-07-26T18:59:59Z,LONG,BOS,1.0527458383794464,0.2519012973143679,0.6142857142857095,6,0.812954186787285,0.2633513562832016,13,1,0.8015041278184513,0,1,0.6297532432859196,0.6686930091185349,27,0.4248531200163874,0,-0.13459090909091034,0
BLURUSDT,2025-07-26T05:59:59Z,LONG,BOS,1.6619040037648998,0.3461473473851545,1,5,0.5769122456419216,0.5769122456419216,23,0,0.5769122456419216,0,1,1.0499802870682975,1.7618586640851908,480,-1.085690739530988,3,2.9468175824175824,1
DOGEUSDT,2025-07-27T06:59:59Z,LONG,BOS,1.1524007535977625,0.07180716492522843,0.3656716417910393,0,0.35185510813365123,0.2513250772383294,5,1,0.9622160099981626,0,1,0.8006498889163887,0.9264259897802375,32,3.117639959650842,-1,-1.0964475336322865,0
XRPUSDT,2025-07-27T10:59:59Z,SHORT,BOS,0.8445344977292291,0.44175322483119833,0.20526315789474792,0,0.560544007979089,0.03340990776034786,7,-0,0.7053202749405854,0,0,1.2658642829196745,1.0640289565651528,56,0.11789720681889174,0,-0.08458416422287386,0
SOLUSDT,2025-07-27T12:59:59Z,LONG,BOS,0.7597159070366528,0.576791982478909,0.9922480620155109,0,0.9003582165524515,0.2532257484053664,2,0,0.9073922651192612,0,1,1.1113796735569401,0.8501479687920434,111,-0.910898385282435,1,0.8934360759493679,1
XLMUSDT,2025-07-27T16:59:59Z,SHORT,BOS,1.271693406085813,0.5372487308207053,0.3333333333333333,0,0.6805150590395641,0.465615566711276,8,-0,1.0207725885593462,0,0,0.8954145513678323,1.1289230074508803,101,0.014799912186956796,0,-0.07972200000000082,0
NEARUSDT,2025-07-26T20:59:59Z,LONG,BOS,1.1991662092185198,0.34165083945701713,0.7391304347826003,6,0.48400535589743776,0.28470903288084126,19,0,0.6548307756259526,0,1,1.6228414874208155,1.957417582417565,229,0.1905732901503112,0,-0.04597894736842146,0
VANRYUSDT,2025-07-29T10:59:59Z,LONG,BOS,1.8830762318311163,0.5803780836852481,1,2,0.8705671255278822,0.29018904184262406,8,1,0.8705671255278822,0,1,0.7283744950249943,1.3944444444444513,153,-0.22909950043335692,-1,-1.0638418326693224,0
ADAUSDT,2025-07-30T04:59:59Z,LONG,BOS,1.2331569767584292,0.13403748209967153,0.4843750000000016,3,0.319627841929993,0.030931726638383096,2,1,0.6598768349522415,0,1,1.0310575546128844,1.2764871074802155,112,-0.8881102058314266,-1,-1.069806,0
TRXUSDT,2025-07-29T11:59:59Z,LONG,BOS,0.896358092911982,2.6393911130423775,0.9213483146067442,2,2.6393911130423775,2.3175141480371932,10,1,2.864704988545987,0,1,2.5750157200413155,2.3640661938534135,10,2.823569569839113,-1,-1.0373700000000001,0
WLDUSDT,2025-07-30T18:59:59Z,LONG,BOS,1.6672298365304212,0.44677640769648563,0.7857142857142937,3,1.2844821721274025,0.5026234586585402,17,1,0.7818587134688499,0,1,0.9605692765474367,1.636536631779247,61,-0.05767293224049247,-1,-1.054294186046512,0
